icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,epoch_time,date,time
ab1644,UAL2488 ,United States,1659915688.0,1659915688,-119.9145,39.1251,10660.38,False,259.03,69.3,0.0,,11285.22,3672,False,0,1659915689,2022-08-07,19:41:29
aa9321,UAL948  ,United States,1659915689.0,1659915689,-122.3738,37.6182,-15.24,False,75.93,297.43,0.98,,-30.48,3726,False,0,1659915689,2022-08-07,19:41:29
7c1bd8,FSA     ,Australia,1659915689.0,1659915689,142.6725,-39.0906,243.84,False,62.3,272.37,0.0,,312.42,,False,0,1659915689,2022-08-07,19:41:29
a3b87f,DAL802  ,United States,1659915688.0,1659915689,-91.8411,44.7593,5730.24,False,172.24,291.74,-9.75,,6065.52,4010,False,0,1659915689,2022-08-07,19:41:29
a4b205,N401TD  ,United States,1659915689.0,1659915689,-73.9975,40.705,167.64,False,42.19,254.44,1.3,,190.5,1200,False,0,1659915689,2022-08-07,19:41:29
a2cbca,N28BQ   ,United States,1659915689.0,1659915689,-96.8917,32.9639,769.62,False,105.38,202.68,-4.88,,822.96,2121,False,0,1659915689,2022-08-07,19:41:29
a5f845,N484JH  ,United States,1659915689.0,1659915689,-119.8666,34.6821,10972.8,False,177.16,314.41,0.0,,11628.12,,False,0,1659915689,2022-08-07,19:41:29
acdfa6,AAL1084 ,United States,1659915689.0,1659915689,-83.5276,33.6947,10355.58,False,228.07,59.5,1.3,,11003.28,2447,False,0,1659915689,2022-08-07,19:41:29
51111d,TOM2YE  ,Estonia,1659915682.0,1659915689,-6.6232,51.2858,10980.42,False,229.44,359.87,0.0,,11468.1,7450,False,0,1659915689,2022-08-07,19:41:29
aae316,AAL1848 ,United States,1659915689.0,1659915689,-83.5951,29.2091,11277.6,False,215.31,79.12,0.33,,11940.54,,False,0,1659915689,2022-08-07,19:41:29
a3ebe2,N3517S  ,United States,1659915542.0,1659915689,-96.3272,33.1712,1127.76,False,30.42,183.88,-4.23,,1188.72,,False,0,1659915689,2022-08-07,19:41:29
acdfa0,DPJ929  ,United States,1659915689.0,1659915689,-100.23,39.0036,12504.42,False,204.83,91.58,-0.33,,13289.28,2714,False,0,1659915689,2022-08-07,19:41:29
a4b21b,UAL2198 ,United States,1659915689.0,1659915689,-94.6733,36.6355,8846.82,False,230.72,43.37,0.33,,9441.18,7236,False,0,1659915689,2022-08-07,19:41:29
